Area,Bedrooms,Bathrooms,Parking,Age,LocationScore,MetroDistance,SchoolDistance,HospitalDistance,CrimeRate,PopulationDensity,City,Locality,PropertyType,Furnishing,Price
1179,2,1.0,0,31,3.3358908235399385,4.790746097569552,7.530730793808351,5.088507803982453,1.5814373014507175,3259,New York,Uptown,Townhouse,Unfurnished,384000.0
2400,4,1.5,1,2,7.827813472969062,1.4724648470300559,3.976056427477428,4.366784472616174,1.3105074368462792,2969,Houston,Westside,Apartment,Semi-Furnished,669100.0
1619,4,1.0,1,67,3.9164107927449967,8.15983180067932,3.4024221732925772,3.6393409683151865,2.1714664645270254,8028,Miami,Waterfront,Condo,Fully Furnished,636200.0
1866,3,1.0,0,56,5.797900919898407,0.6243561617028568,5.393144988452357,6.998222438591597,0.8057757383395036,4294,Chicago,Waterfront,Townhouse,Unfurnished,715300.0
1618,2,1.0,0,75,3.975911962285436,1.3280491536661687,3.4507325052880664,6.9217218111706815,0.2137652220878251,4506,Houston,Westside,Penthouse,Fully Furnished,545800.0
3581,6,2.5,2,23,6.641870587482639,2.4174118752327525,0.5271678488066905,0.6862330239650585,1.1623979232165382,3995,Miami,Eastside,Townhouse,Unfurnished,987600.0
2089,4,1.5,1,32,7.764590144479744,5.234048028956616,5.815387326929549,8.021716725509027,2.0680963015209297,7143,Miami,Waterfront,Apartment,Unfurnished,1027000.0
1253,3,1.0,2,2,4.648597909585412,4.835257986672781,2.3916747420060256,9.565531684804217,0.25022892573832184,8788,Los Angeles,Suburbs,Townhouse,Fully Furnished,575600.0
2758,5,1.0,1,3,6.824166786296976,0.8282056347041005,0.5828654356840858,7.58359223794948,0.38044408900978066,4639,Los Angeles,Suburbs,Penthouse,Unfurnished,1515500.0
1123,3,1.0,1,29,8.598838195309913,0.5451610054250949,0.36084439690985237,10.503713590266432,1.7887859994066082,9335,Houston,Waterfront,Penthouse,Semi-Furnished,1077500.0
2267,5,2.0,1,69,2.7537942813159333,1.268266816635255,7.464617894903082,3.678788151921773,0.47134902998737127,3390,Chicago,Westside,Condo,Fully Furnished,379000.0
532,1,1.0,1,48,7.685364792330169,2.3141026185425817,2.1661928674245177,2.7077631318405384,0.27938749263677753,3934,Miami,Uptown,Penthouse,Unfurnished,498700.0
1037,3,1.5,0,29,4.585159555483042,2.7102886274388833,3.6936137016798956,8.518698078929699,3.30264533803775,5846,Miami,Waterfront,Single-Family,Unfurnished,636000.0
2257,4,2.5,0,71,2.981199652199554,1.9621247214038469,7.614496332611072,2.6684296753037646,0.26312978352707556,2866,Houston,Downtown,Penthouse,Unfurnished,749500.0
2690,5,2.0,2,15,6.36523366091479,3.807789274942974,3.8466324344896563,1.5477061128155247,0.632731512212331,5820,Chicago,Suburbs,Apartment,Unfurnished,543000.0
2237,3,1.0,1,52,3.810098554141854,1.9524592748596485,0.8131527235052285,1.6110732882061112,0.839053245194197,3463,New York,Downtown,Penthouse,Unfurnished,1093600.0
2007,3,1.0,2,5,8.570894341353261,10.237089260173631,4.505101168523942,9.336525172095758,0.9697961676371603,1411,Chicago,Downtown,Condo,Fully Furnished,881100.0
1859,3,1.0,1,23,2.343167276248609,1.058453216222151,0.8879494969417085,0.8304789691832006,0.6725039387952437,1014,New York,Downtown,Penthouse,Fully Furnished,1366500.0
917,2,1.0,1,27,2.7892231701671797,3.4551124995171665,0.9416854513135837,3.8287521056507994,3.6548348633653074,3852,Miami,Waterfront,Townhouse,Semi-Furnished,402900.0
1524,3,1.0,1,20,6.167969007886535,3.308017903111521,6.841521175659186,1.9856437143568835,1.612161520630046,5335,Los Angeles,Waterfront,Townhouse,Semi-Furnished,1054000.0
1731,2,1.0,2,7,6.711534272615654,1.1574275157329965,2.457488038243798,9.181466688194309,0.6682467054259913,1777,Los Angeles,Downtown,Townhouse,Fully Furnished,1195200.0
2945,5,2.0,1,35,7.839093316181975,1.8567402746227593,5.493627560877003,6.290170484089316,0.6640957449508579,4857,Houston,Waterfront,Single-Family,Fully Furnished,1634000.0
2374,5,2.0,2,8,4.0740858260175505,1.5920674551783092,4.169609815563562,2.863162766723173,1.048604523557287,4862,Chicago,Downtown,Condo,Unfurnished,631300.0
689,1,1.0,0,39,8.734083265706335,0.6627076253163209,1.9341481913944305,9.129725334489573,0.05136428340894918,4164,Chicago,Downtown,Townhouse,Semi-Furnished,417700.0
2359,4,1.0,2,50,9.625138718190264,2.2705845203417034,4.23899832949502,9.129214855088879,3.91862272360423,2647,New York,Eastside,Townhouse,Semi-Furnished,934100.0
1791,3,1.5,1,0,5.992314428758909,1.710938323195733,0.7381495800180715,6.514760441289482,0.3790697661317421,4980,Houston,Uptown,Townhouse,Semi-Furnished,635400.0
1558,3,1.0,0,62,8.08425091975841,0.6874036444865657,2.9082563267997332,3.6722725511349115,1.7939700759252033,4215,Chicago,Eastside,Condo,Unfurnished,388200.0
2589,4,1.0,1,67,6.198786836350342,2.09166623853379,4.278122555159835,7.2421866415155485,2.255744683439108,6463,Houston,Uptown,Townhouse,Semi-Furnished,540000.0
2924,4,1.0,1,73,2.555736235297685,1.9176902347069475,1.9814758370680856,11.235596158673207,2.635020149308211,1914,New York,Uptown,Single-Family,Unfurnished,800800.0
2845,4,1.5,0,25,4.608892102740969,0.49291565788262004,5.349467415414612,1.0938184577015162,0.2716396252760217,4727,Miami,Westside,Townhouse,Unfurnished,782100.0
1428,3,1.0,1,39,2.69989351701612,0.49219796672306226,0.6041329892311929,3.5699232361506117,1.1540482923503232,1956,Houston,Suburbs,Apartment,Unfurnished,137500.0
1852,3,1.0,1,2,9.911032954040108,3.649539574385054,3.9815172033908897,3.7771457470157976,0.13107521645370313,4025,Los Angeles,Waterfront,Single-Family,Unfurnished,2340000.0
2365,4,1.5,1,8,3.8322072965870175,4.291535471362533,5.77696709405719,7.765834131226152,2.450537086784731,2309,Miami,Uptown,Apartment,Fully Furnished,612800.0
2880,5,1.5,1,31,7.08720335532575,9.916481696665194,3.553579259862828,7.988390561612394,0.9996163055170222,2665,Chicago,Suburbs,Townhouse,Semi-Furnished,615500.0
1716,3,1.0,0,66,4.274760815559499,0.3185858753583967,7.021774039487716,2.8726270418527045,0.2588343953434999,4492,New York,Suburbs,Townhouse,Fully Furnished,485700.0
1951,4,1.5,0,3,7.225969722847407,0.4389216901462629,5.131103693677192,2.9851568731188727,1.9023880792996137,3368,New York,Eastside,Condo,Semi-Furnished,918700.0
1214,2,1.0,3,5,3.6832135269638595,0.18623131631938883,7.676244745258154,11.17444587197045,0.6033377034302202,7433,Los Angeles,Waterfront,Apartment,Fully Furnished,912000.0
1143,1,1.0,2,72,8.282160527280595,2.6592132074619883,2.416150139644834,9.197436403122326,0.1824154191742747,6858,Houston,Eastside,Apartment,Unfurnished,221200.0
2750,5,1.5,1,25,2.886492822693084,3.411933723368015,7.522556780667028,11.244101533114774,0.9272650260704377,6109,Los Angeles,Westside,Penthouse,Fully Furnished,1239200.0
3184,5,2.0,3,1,9.161203200722241,1.8085037393968335,4.933216201108435,10.041124363871031,0.4023027725646958,6069,Houston,Downtown,Penthouse,Unfurnished,2312500.0
2042,4,1.5,1,65,8.723373540326357,5.596512754174066,6.0123954138645095,5.124356773032533,4.5002682895955175,4760,Los Angeles,Uptown,Penthouse,Fully Furnished,1552400.0
2902,6,2.5,0,2,7.430458749107085,4.0620729829618085,7.236856712938886,1.9019378237194338,0.6726254392308162,7109,Los Angeles,Westside,Penthouse,Unfurnished,1740300.0
2389,4,1.5,0,34,2.539317017142783,14.900773716654129,4.499338066336203,7.739829211952484,1.274536249909296,3911,New York,Waterfront,Apartment,Fully Furnished,686700.0
1583,3,1.0,2,58,3.6685522266314265,0.5193236531710713,6.9250101772073895,4.547897215963024,4.445217072218008,8738,Houston,Westside,Condo,Unfurnished,208200.0
2389,3,1.0,1,37,8.874892765528607,0.21029806250477917,4.425236128786832,5.392237891805913,0.7506229658238757,2615,Los Angeles,Eastside,Penthouse,Semi-Furnished,1441700.0
3330,5,1.5,2,32,2.975795474420761,1.1245951844228772,4.873751635414454,5.39761702085667,0.665046926289144,2242,Chicago,Suburbs,Apartment,Unfurnished,334200.0
2071,4,2.0,2,14,3.2474567704641606,0.1,3.671768868599607,11.269975649138447,0.26583203016354884,1710,New York,Westside,Condo,Fully Furnished,831500.0
3351,5,2.0,1,74,6.352026590044166,9.44047939924325,1.3359807043528025,1.2919178207148265,4.178293683420687,2058,New York,Uptown,Condo,Semi-Furnished,1099200.0
500,1,1.0,0,73,4.19341951739475,1.2681765780315566,4.51732522012116,2.7206932569019915,2.41975313266778,1241,New York,Westside,Penthouse,Unfurnished,436000.0
2757,5,2.0,0,13,3.776605599551436,2.8137294569354685,7.824096196076213,7.491343016671835,0.37463750967876785,4928,New York,Westside,Apartment,Fully Furnished,1037100.0
2169,4,1.0,0,65,6.6065074547854445,1.3398970457129569,6.340050766711817,10.663217757699275,0.6067158567528226,6207,Los Angeles,Suburbs,Single-Family,Fully Furnished,787100.0
1860,4,1.0,0,44,4.980613411664232,0.9873819416625976,6.030488181076804,11.056340496504895,3.696099983736761,4568,Los Angeles,Eastside,Apartment,Unfurnished,343300.0
2173,4,1.5,1,47,3.12447917415735,0.5785669215771578,5.2178086612911105,6.924968654921697,1.1559484289079833,1729,New York,Westside,Condo,Semi-Furnished,617700.0
509,2,1.0,0,43,6.2788301403637155,1.3517026032320651,2.9136876532005074,0.8974540165955617,1.219025846821146,3560,Los Angeles,Suburbs,Townhouse,Fully Furnished,282200.0
1924,3,2.0,0,36,5.096099226228982,3.3446023382394956,1.522998516931352,4.673131894903951,1.56680197160248,6182,Los Angeles,Uptown,Penthouse,Fully Furnished,1170200.0
2385,4,1.0,1,28,7.876134194190155,12.46739508151039,1.9515024928129807,11.066582859985807,2.154259729263125,3816,Houston,Uptown,Condo,Fully Furnished,603300.0
3282,5,2.0,1,33,2.8220435385647136,2.858287791496773,0.24931229843267097,6.249356988690562,4.2023602227352495,2903,Chicago,Downtown,Single-Family,Semi-Furnished,605900.0
1685,2,1.5,1,58,6.964905951567791,2.6628113067115255,5.453147283007167,8.856052710610069,2.430938444336427,1472,Houston,Eastside,Single-Family,Semi-Furnished,419700.0
1453,3,1.5,1,42,5.491946615545982,0.12564920345475475,6.532644956740183,3.595724335169189,4.089684810243301,3654,Miami,Downtown,Single-Family,Fully Furnished,685800.0
1698,4,1.5,1,32,5.248495000419233,6.416201761328811,2.297508539344866,0.7875801588629143,2.577287586156851,3094,Houston,Suburbs,Single-Family,Fully Furnished,303000.0
2832,5,1.5,2,18,3.8583015040667297,0.16057248485395964,0.9164331172253206,7.151142141624578,0.07132005185310884,4327,Chicago,Downtown,Apartment,Semi-Furnished,719200.0
2363,4,1.0,0,7,2.243408225621689,8.284270945211516,2.8186711290109594,10.102281551018836,0.18755358152159063,5452,Chicago,Downtown,Condo,Semi-Furnished,454400.0
1676,3,1.5,0,30,8.781513554917165,2.7077588891547606,2.477999589452428,11.888090014235685,3.2428387537050316,3935,Houston,Waterfront,Single-Family,Unfurnished,927700.0
2510,4,2.0,2,10,4.611280688275407,0.6456933667796683,3.7168356140663086,10.236211740147036,0.042130842082157005,4869,Houston,Downtown,Condo,Unfurnished,658500.0
2177,3,1.0,1,7,7.448728317838777,2.1033116242089376,2.2599960237038856,6.8709351666929415,2.371090919388055,5444,Miami,Eastside,Condo,Unfurnished,621300.0
2874,4,1.0,2,24,9.580699198213658,18.53326408579528,2.849915101691227,7.500367271206186,2.8441181097896484,2040,New York,Westside,Townhouse,Unfurnished,1147700.0
1538,2,1.0,1,19,6.519922384657053,1.2738692823424538,7.278927278924093,9.977886458518405,0.8054068056765346,8272,Chicago,Uptown,Apartment,Fully Furnished,387300.0
1837,4,1.0,2,37,5.17717522015893,1.0988984140834746,2.8117157525389285,0.7278230135175858,0.6574196971744977,3017,New York,Downtown,Townhouse,Fully Furnished,1104300.0
1786,3,1.0,2,6,4.14618853078963,0.4394946735177038,6.327040764493197,11.44391000423634,0.3242597622426039,5533,Miami,Suburbs,Penthouse,Unfurnished,814700.0
929,2,1.5,1,76,9.472350341179947,3.182102007837813,5.081502861750783,6.609044327254662,0.07523386743529775,2228,Los Angeles,Waterfront,Penthouse,Fully Furnished,1905200.0
2336,4,2.0,0,38,7.456614544409143,0.3271155594633137,2.832795975924716,11.44860081163409,2.0519919781420133,4720,Los Angeles,Waterfront,Penthouse,Semi-Furnished,2464700.0
2308,3,1.0,2,73,7.322251146052476,5.083640187217913,6.578748504286733,9.29195891567956,0.11487954381014752,4793,New York,Uptown,Townhouse,Semi-Furnished,1107200.0
2104,3,1.0,2,71,5.409266601162216,8.806242811631535,4.841593342850866,2.2516533040690656,4.341649948439047,7818,Houston,Uptown,Condo,Unfurnished,218200.0
1912,3,1.0,2,19,8.760389702939445,9.402238805934335,0.26722607527142284,2.4004878683557145,0.5280503038820583,4034,Chicago,Suburbs,Penthouse,Fully Furnished,854200.0
967,2,1.5,0,10,7.709377496075897,0.3996834236518396,0.7360799722647182,4.566928724146203,2.3715987326929557,7098,New York,Suburbs,Penthouse,Semi-Furnished,818300.0
1763,3,1.0,2,15,4.265466174248129,2.8596388979095098,6.070588563728087,3.5358622522616687,0.09230678312090727,5080,Houston,Eastside,Townhouse,Fully Furnished,348600.0
1825,3,1.0,0,41,6.796629280200384,0.35754035957467517,3.682916758764516,5.551935731921552,1.152707281005405,8204,Miami,Eastside,Condo,Semi-Furnished,432000.0
1458,3,1.0,1,51,5.441551636810125,2.9703442925095787,3.3629607755996167,7.444894515066983,0.644097820830567,939,Houston,Suburbs,Penthouse,Fully Furnished,405000.0
1970,4,1.0,1,36,2.0527213026377042,5.905530801089705,1.3374520367273022,5.52066424409753,0.045690520266392316,5464,Miami,Waterfront,Apartment,Semi-Furnished,516300.0
2423,4,1.5,1,51,8.460987452014379,2.7010770390331156,1.4270850328979077,1.148836724133016,1.5997957793691202,300,New York,Waterfront,Penthouse,Semi-Furnished,2653000.0
3608,5,2.0,1,8,2.9826427913576063,7.196509669869825,6.4224691107480245,11.719763574235374,4.301344269759905,4383,Los Angeles,Suburbs,Townhouse,Semi-Furnished,451600.0
2239,4,1.5,1,34,6.079636048020913,5.662457243808401,6.6663336448993515,5.388904543315521,0.016216493991411587,6541,Chicago,Downtown,Townhouse,Unfurnished,751500.0
2306,3,1.0,0,66,4.689809544678525,1.13302547043169,4.568019816982088,10.287362549699786,0.47296417956558345,7391,New York,Eastside,Apartment,Fully Furnished,571800.0
2040,4,2.0,1,6,4.73671232960542,3.4808506312416334,2.501996916484362,1.3504743610032495,1.8240971408564897,5977,Los Angeles,Downtown,Condo,Unfurnished,1008700.0
564,1,1.0,2,1,5.818919067310464,0.1,7.475066370009076,9.815746116741842,3.0748674966776983,3918,Miami,Suburbs,Apartment,Fully Furnished,211500.0
2078,5,2.5,0,24,9.97618483215796,1.764876682387062,5.066906649762768,2.4941533336800075,0.31752515530805636,5590,Chicago,Suburbs,Penthouse,Semi-Furnished,1017900.0
2148,4,1.0,1,75,5.267037445051806,0.9511475799445654,6.413808531723948,8.313156844465064,0.11001258910165507,9532,Houston,Waterfront,Townhouse,Unfurnished,815200.0
4070,6,2.5,1,40,3.458633838532579,9.682641573373365,0.2256067782480803,8.110777006933539,0.013018430604171526,4650,New York,Downtown,Condo,Semi-Furnished,1228900.0
1946,3,1.0,1,74,6.908850704394951,1.819467609655919,3.7124928868278118,10.962777260068885,0.36350182995438285,6422,Houston,Eastside,Penthouse,Unfurnished,606000.0
2341,4,1.5,1,51,3.89030166431617,3.7152595570196656,6.993402873295655,4.187781824033494,0.11098221001152797,3641,Chicago,Uptown,Apartment,Fully Furnished,410600.0
2072,4,1.5,1,76,2.8443930937036033,4.608448875492924,2.8382196092152263,1.7530372390298894,0.6679831239492633,6640,New York,Uptown,Penthouse,Fully Furnished,947700.0
1165,2,1.0,0,64,2.401393376527433,5.193096978470291,5.867099179603792,10.442506886988568,0.8700646779161239,6312,New York,Westside,Apartment,Fully Furnished,281000.0
3014,4,1.0,3,76,2.183050192157471,4.658342474823629,5.329863636003435,4.313141590864221,0.9806699264866721,3278,Houston,Eastside,Single-Family,Semi-Furnished,363900.0
2701,5,1.5,1,37,5.44931718648851,1.1946026029650836,1.3873032575635353,3.1741385741953967,0.2303025969638282,6054,Houston,Uptown,Single-Family,Unfurnished,682600.0
2732,4,2.5,1,66,5.413806238987149,4.0550226884888305,6.2442498525843595,6.091399037866169,0.935398231791886,6149,Los Angeles,Downtown,Townhouse,Unfurnished,1109300.0
1372,2,1.0,1,79,3.4843632006236236,2.7870813763530142,1.0777089644398312,2.180560435135583,0.013639285143897409,5979,Houston,Waterfront,Condo,Unfurnished,338700.0
3222,5,2.0,1,41,8.272152430169674,3.184103549912333,5.877729953261138,3.9150785603276446,0.41051311426902665,4417,Miami,Downtown,Townhouse,Unfurnished,1376100.0
978,2,1.0,1,70,3.03416502335903,0.1,7.929553026876936,4.93072729174351,0.6908786932282192,6958,Los Angeles,Downtown,Penthouse,Unfurnished,680400.0
2569,5,2.0,1,53,9.32253754111442,1.0456364351583043,7.672255168131749,3.688435875147298,0.188942871934821,2630,Houston,Uptown,Single-Family,Unfurnished,1044700.0
3852,6,2.0,1,66,6.700607821146179,9.341763003392519,6.441885595844637,5.677984258545444,2.5230499835012568,4519,New York,Suburbs,Townhouse,Fully Furnished,995300.0
1307,2,1.0,1,77,2.220931008839437,1.199091159960063,4.369235908991677,4.923482731267435,0.33699028682473664,4722,Houston,Westside,Apartment,Fully Furnished,191600.0
1646,3,1.0,0,63,9.703781005941732,2.0169836719590655,5.463631691401772,9.407796857771894,2.109070519772439,6842,Chicago,Uptown,Condo,Unfurnished,532800.0
2179,4,1.5,1,79,4.463530076366829,0.7231813536724361,5.879245444683923,11.061699784634163,0.9633761098117224,2567,Los Angeles,Uptown,Single-Family,Unfurnished,762500.0
1697,3,1.0,2,3,5.599799676622827,0.5221974410579527,0.2655318893702619,1.6606169926003043,0.9801488066491206,4982,New York,Uptown,Condo,Unfurnished,892600.0
859,2,1.0,0,30,4.274149543956417,0.8191361551234805,0.9984565234330602,9.967979249608197,1.5542775975727507,3515,Houston,Westside,Condo,Unfurnished,219600.0
2154,4,1.0,0,12,7.82737038427022,2.8232606394420365,4.857061230215127,11.215368888572259,0.06793185220808388,4718,Chicago,Waterfront,Single-Family,Fully Furnished,1635500.0
1250,3,1.0,1,26,5.885441765756309,8.797809677122244,0.25096941311469106,8.396051178639773,0.12305096089358127,5284,Los Angeles,Eastside,Apartment,Semi-Furnished,379800.0
2478,4,1.5,3,58,3.058983675220021,1.3818725580730957,7.289464076033279,11.958826275962917,0.5936661304735595,1943,Los Angeles,Uptown,Apartment,Fully Furnished,642800.0
1364,2,1.0,2,64,2.8336316188756303,1.3674037156291128,4.0193691631556066,4.352994496146259,0.8088955202087462,7028,Los Angeles,Waterfront,Apartment,Unfurnished,491500.0
3339,6,2.0,1,63,7.803003306596598,2.9065243711648927,2.2105831897199493,10.048564328227101,0.8430225884649007,5355,New York,Waterfront,Condo,Unfurnished,2384500.0
1473,3,1.0,2,24,3.896651239450172,1.5442367736947373,3.2718051228612746,8.247578803784222,1.6946303649459709,2782,Houston,Downtown,Apartment,Fully Furnished,376600.0
1842,4,1.0,1,36,3.10234699710778,8.444026787024402,6.836056002992023,4.219431052770762,0.0010578907107980234,3817,New York,Suburbs,Penthouse,Fully Furnished,616100.0
2750,4,2.0,3,74,5.995420775982742,1.660998190763673,7.432104415360103,8.60377956036897,4.795124586615184,7488,Miami,Westside,Penthouse,Semi-Furnished,992000.0
1115,2,1.0,1,72,8.422122300290432,2.3597423194412883,1.1066328477230964,6.3606511491619155,0.28762614833832767,5331,Houston,Suburbs,Apartment,Semi-Furnished,250000.0
2281,4,1.5,1,70,4.230261966985044,2.667909837099824,6.268092944853498,2.6731997441669098,0.4287889546689153,2570,Miami,Waterfront,Apartment,Fully Furnished,888100.0
3145,6,2.5,1,13,4.211452893606462,5.332499379887771,4.710171522088936,2.4996163477088214,3.540753328451026,2932,Houston,Waterfront,Single-Family,Fully Furnished,1152400.0
814,2,1.0,1,23,8.671050082083015,2.9046406326477725,4.766921509782996,8.704086737807254,0.00825980105739756,5749,Los Angeles,Westside,Single-Family,Fully Furnished,779400.0
2247,4,1.0,1,66,3.182670356550261,0.9566401350156617,6.279726550787446,8.687200316642436,7.117697291282467,5989,New York,Suburbs,Townhouse,Unfurnished,304800.0
2307,4,1.5,1,47,6.933820734292378,0.46331104345605667,1.9381885569304682,6.603898251056485,0.05492959155404882,5225,Miami,Downtown,Condo,Fully Furnished,988900.0
2725,5,2.5,1,64,9.640107863860685,9.71946901003507,4.342150750204675,6.266280173694092,0.19268020837203265,3917,Los Angeles,Suburbs,Condo,Semi-Furnished,767900.0
1110,2,1.0,1,37,8.73042519661846,5.660492538987127,2.6909504005163116,2.5704421254219114,0.41186590021331937,6119,Los Angeles,Uptown,Single-Family,Unfurnished,780000.0
1043,2,1.0,0,69,2.4945218702378336,0.1,0.9371962908168157,5.436790414549506,0.8663074670049298,3876,Miami,Suburbs,Penthouse,Fully Furnished,369600.0
2517,5,1.0,2,58,4.559287012493003,6.031651738384208,1.01961967534151,10.521071491857661,1.0961225939045984,2790,Houston,Waterfront,Townhouse,Unfurnished,604100.0
2337,4,1.5,2,11,3.138995724740931,3.1257002600726893,1.2644774708761757,10.329364020094236,0.16592557922493967,7673,Miami,Westside,Single-Family,Unfurnished,828300.0
2300,5,2.0,3,53,9.593925101497117,2.5608385161290013,4.996218821457736,8.100567370793136,0.11479341752072453,5477,New York,Uptown,Townhouse,Unfurnished,1678300.0
2377,4,1.0,2,50,9.88753252977665,0.1,1.025475547343018,11.969601796651931,0.04856636813981896,2930,Chicago,Waterfront,Condo,Semi-Furnished,1142600.0
1555,3,1.0,1,37,3.879944164320303,5.3132204812620465,4.646809972203354,10.771550986930636,0.4450856397316435,4768,Houston,Suburbs,Condo,Unfurnished,167600.0
2285,4,1.0,1,45,7.35759235863002,0.7725470883910301,4.788717052222626,2.170149871033173,3.8176151823554845,4554,Los Angeles,Westside,Condo,Semi-Furnished,748200.0
2334,4,1.5,0,9,8.733053856376948,4.556594510761607,7.250392778950751,5.090068635577583,0.7410572840644334,3800,Miami,Uptown,Penthouse,Semi-Furnished,2073600.0
1528,3,1.5,0,8,3.869442275315812,0.1,5.0857374513390115,2.017281074731655,2.1659321953224233,4967,Chicago,Suburbs,Single-Family,Semi-Furnished,359900.0
3592,6,2.0,1,51,3.50144507456782,5.569796282106339,7.88758515887571,5.860030588935835,0.31643009587125154,2642,Miami,Uptown,Townhouse,Semi-Furnished,734500.0
2479,6,2.0,2,50,2.0896881859782424,0.1,0.4417421235385116,9.428402484565568,0.1002986016610734,6247,Chicago,Downtown,Single-Family,Unfurnished,703900.0
1146,2,1.0,0,21,5.295699655532207,0.9416656260342504,5.6923398658319275,2.291570164180734,1.2120957783803936,4487,Houston,Downtown,Condo,Fully Furnished,364900.0
2625,4,2.0,2,72,9.195499699157732,1.0932421815177609,0.40654460881373783,10.62485337282889,2.5897364500137496,1281,Miami,Westside,Condo,Fully Furnished,1051900.0
